kickoff_utc,week,away_team,home_team,venue,dome,capacity,wind_mph,wind_dir,temp_f,precip_pct,away_talent,home_talent,market_spread_home,market_total,model_margin_adjusted,model_total,ats_pick,ats_confidence,total_pick,total_confidence,ml_pick,ml_edge,adjustment_notes
2026-08-29T16:00:00.000Z,1,North Carolina,TCU,Aviva Stadium,no,51700,,,,,,,-7,48.5,8.498982323663721,55.160000000000004,home,medium,over,high,,0.02815146371330801,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T19:00:00.000Z,1,San José State,USC,Los Angeles Memorial Coliseum,no,77500,,,,,,,-38.5,59.5,28.24451107665614,60.08,away,high,over,low,,-0.011704828231850595,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T19:30:00.000Z,1,NC State,Virginia,Scott Stadium,no,61500,,,,,,,-5.5,54.5,4.314586585796294,51.08,away,medium,under,medium,,0.035173685069195715,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T21:30:00.000Z,1,Jacksonville State,North Dakota State,Fargodome,yes,18700,,,,,,,-7.5,48.5,1.6765569209965268,53.72,away,high,over,medium,away,-0.19519583501461535,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T22:30:00.000Z,1,Sacramento State,Eastern Michigan,Rynearson Stadium,no,30200,,,,,,,-8.5,,1.2006433092329836,57.56,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T23:00:00.000Z,1,Hawai'i,Stanford,Stanford Stadium,no,50424,,,,,,,-3,,2.944735907608158,50.480000000000004,away,low,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T23:00:00.000Z,1,New Mexico State,Florida State,Doak Campbell Stadium,no,67277,,,,,,,-30.5,53.5,24.1154746039149,53.480000000000004,away,high,under,low,,-0.03251197437248976,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-30T02:00:00.000Z,1,Memphis,UNLV,Allegiant Stadium,yes,65000,,,,,,,-3,,3.1435859747960433,56.6,home,low,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-03T22:00:00.000Z,1,Massachusetts,Rutgers,SHI Stadium,no,52454,,,,,,,-30.5,,22.90062008044409,60.56,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-03T23:00:00.000Z,1,Akron,Wake Forest,Allegacy Federal Credit Union Stadium,no,31500,,,,,,,-22.5,,20.643220411690844,47.24,away,medium,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T00:00:00.000Z,1,Colorado,Georgia Tech,Bobby Dodd Stadium,no,55000,,,,,,,-7,,5.18073145052749,54.68,away,medium,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T01:00:00.000Z,1,UAB,Illinois,"Memorial Stadium (Champaign, IL)",no,60670,,,,,,,-27.5,56.5,22.147156396600625,58.04,away,high,over,low,,-0.03765115447054135,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T22:30:00.000Z,1,San José State,Eastern Michigan,Rynearson Stadium,no,30200,,,,,,,-3.5,,0.5348835118129569,55.519999999999996,away,medium,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T00:00:00.000Z,1,UTEP,Oklahoma,"Memorial Stadium (Norman, OK)",no,86112,,,,,,,-40.5,49.5,31.908470479927523,44.599999999999994,away,high,under,medium,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T00:00:00.000Z,1,Toledo,Michigan State,Spartan Stadium,no,75005,,,,,,,-10.5,,3.7619677737603228,50.36,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T01:00:00.000Z,1,Miami,Stanford,Stanford Stadium,no,50424,,,,,,,21.5,,-18.988829789056254,49.28,home,medium,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T01:00:00.000Z,1,Fresno State,USC,Los Angeles Memorial Coliseum,no,77500,,,,,,,-23.5,,19.16398351817044,55.16,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,North Texas,Indiana,"Memorial Stadium (Bloomington, IN)",no,52656,,,,,,,-40.5,,25.39762497496524,58.64,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Liberty,James Madison,Bridgeforth Stadium,no,24877,,,,,,,-6,,11.535115975473872,53.96,home,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Ohio,Nebraska,"Memorial Stadium (Lincoln, NE)",no,85458,,,,,,,-23.5,,13.878753863330612,53.36,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,East Carolina,Alabama,Bryant-Denny Stadium,no,101821,,,,,,,-25.5,,19.59830615711954,52.040000000000006,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Coastal Carolina,West Virginia,Milan Puskar Stadium,no,60000,,,,,,,-21,57.5,12.381050193381935,51.68,away,high,under,medium,home,0.2943149796656852,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Oregon State,Houston,TDECU Stadium,no,40000,,,,,,,-19.5,50.5,14.997369802750562,53.239999999999995,away,high,over,medium,away,-0.05882904247448828,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Miami (OH),Pittsburgh,Acrisure Stadium,no,68400,,,,,,,-16.5,50.5,14.221914316241321,45.56,away,medium,under,medium,,-0.03449416431268271,"blend of 3 margin source(s) (fitted weights): espn_fpi, fei, team_rankings; total from fei"
2026-09-05T16:30:00.000Z,1,Ball State,Ohio State,Ohio Stadium,no,102780,,,,,,,-49.5,,42.73390682302175,49.4,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:45:00.000Z,1,Kent State,South Carolina,Williams-Brice Stadium,no,80250,,,,,,,-34.5,52.5,27.308966707870045,51.44,away,high,under,low,home,0.4560713836323045,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Marshall,Penn State,Beaver Stadium,no,106572,,,,,,,-24.5,54.5,22.03080505403712,50.96,away,medium,under,medium,,-0.00519796107767978,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Tulane,Duke,Wallace Wade Stadium,no,40004,,,,,,,-8.5,,3.3930630554674592,56.599999999999994,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Baylor,Auburn,Mercedes-Benz Stadium,yes,75000,,,,,,,-6.5,59.5,7.49162040719237,51.92,home,low,under,high,,-0.029354976146417244,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Boise State,Oregon,Autzen Stadium,no,54000,,,,,,,-24.5,,21.44577196527121,54.44,away,high,,,,,"blend of 4 margin source(s) (fitted weights): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
